Name,Current Price,Old Price,URL
RCR - Aurea Highball Set 6 Pcs - 370ml - Gold,"LE 2,475.00","LE 2,475.00",https://sheffieldegypt.com/products/rcr-aurea-highball-set-6-pcs-370ml-gold
Arsel - Cutlery Set 89 Pcs - Silver,"LE 8,995.00","LE 8,995.00",https://sheffieldegypt.com/products/arsel-cutlery-set-89-pcs-silver-3
Arsel - Cutlery Set 89 Pcs - Silver,"LE 8,995.00","LE 8,995.00",https://sheffieldegypt.com/products/arsel-cutlery-set-89-pcs-silver-2
Arsel - Cutlery Set 89 Pcs - Silver,"LE 8,995.00","LE 8,995.00",https://sheffieldegypt.com/products/arsel-cutlery-set-89-pcs-silver-1
Arsel - Cutlery Set 89 Pcs - Silver,"LE 8,995.00","LE 8,995.00",https://sheffieldegypt.com/products/arsel-cutlery-set-89-pcs-silver
Bohemia Crystal - Macao Box 20.5 cm - Clear,"LE 2,730.00","LE 2,730.00",https://sheffieldegypt.com/products/bohemia-crystal-macao-box-20-5-cm-clear
Zenker - Lasagne Tin-and Roasting Pan - Black - 40 × 29 × 6cm,LE 665.00,LE 665.00,https://sheffieldegypt.com/products/zenker-lasagne-tin-and-roasting-pan-black-40-29-6cm
Zenker - Rectangular oven tray - 38 cm - Black,"LE 1,260.00","LE 1,260.00",https://sheffieldegypt.com/products/zenker-rectangular-oven-tray-38-cm-black
Zenker - Round Pizza Tray - Black - 28cm,LE 765.00,LE 765.00,https://sheffieldegypt.com/products/zenker-round-pizza-tray-black-28cm
ArdaCam - Footed Cake Stand 35.2 x 19.7 x 13.2 cm Gold Spots/White,"LE 1,035.00","LE 1,035.00",https://sheffieldegypt.com/products/ardacam-footed-cake-stand-35-2-x-19-7-x-13-2-cm-gold-spots-white
ArdaCam - Footed Plate - 33 x 9.5 cm - Metallic Straw Yellow,LE 855.00,LE 855.00,https://sheffieldegypt.com/products/ardacam-footed-plate-33-x-9-5-cm-metallic-straw-yellow
